date_string,time_string,player_name,pokemon,trainer_name,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam
11-18,15:52:16,NINTEN,Articuno,Rival1-Lab,1,12.79,12,0h0m12s,0,0,5,0:02,2.125,PECK,ICE BEAM,,,0,72,2,1,1,3,3,2,0,3000,Jolteon
11-18,15:52:47,NINTEN,Articuno,Bug Catcher,1,43.25,43,0h0m43s,0,0,7,0:10,2.47,ICE BEAM,PECK,,,0,605,65,2,11,9,9,5,1,3175,Flareon
11-18,15:52:53,NINTEN,Articuno,Brock,2,49.30,49,0h0m49s,0,0,9,0:11,2.422,ICE BEAM,PECK,,,0,709,66,3,12,11,11,6,1,3275,Flareon
11-18,15:53:01,NINTEN,Articuno,Bug Catcher,3,57.08,57,0h0m57s,0,0,10,0:13,4.311,ICE BEAM,PECK,,,0,786,66,4,12,17,17,11,2,4463,Flareon
11-18,15:53:03,NINTEN,Articuno,Youngster,2,59.62,59,0h0m59s,0,0,10,0:14,1.641,ICE BEAM,PECK,,,0,790,66,5,12,19,19,11,2,4563,Flareon
11-18,15:53:08,NINTEN,Articuno,Bug Catcher,4,1:04.73,1:04,0h1m4s,0,0,11,0:15,4.329,ICE BEAM,PECK,,,0,794,67,6,12,25,25,13,2,4728,Flareon
11-18,15:53:13,NINTEN,Articuno,Bug Catcher,2,1:09.46,1:09,0h1m9s,0,0,12,0:17,3,ICE BEAM,PECK,,,0,804,67,7,12,29,29,15,2,4818,Flareon
11-18,15:53:20,NINTEN,Articuno,Super Nerd,2,1:16.91,1:16,0h1m16s,0,0,13,0:19,2.25,ICE BEAM,PECK,,,0,945,86,8,12,32,32,16,2,4928,Flareon
11-18,17:14:23,NINTEN,Articuno,Rival1-Lab,1,13.50,13,0h0m13s,0,0,5,0:02,2.36,PECK,ICE BEAM,,,0,72,2,1,1,3,3,2,0,3000,Jolteon
11-18,17:14:56,NINTEN,Articuno,Bug Catcher,1,46.48,46,0h0m46s,0,0,7,0:10,2.657,ICE BEAM,PECK,,,0,605,65,2,11,9,9,5,1,3175,Flareon
11-18,17:15:03,NINTEN,Articuno,Brock,2,52.99,52,0h0m52s,0,0,9,0:11,2.527,ICE BEAM,PECK,,,0,709,66,3,12,11,11,6,1,3275,Flareon
11-18,17:15:11,NINTEN,Articuno,Bug Catcher,3,1:01.49,1:01,0h1m1s,0,0,10,0:13,4.876,ICE BEAM,PECK,,,0,786,66,4,12,17,17,11,2,4463,Flareon
11-18,17:15:14,NINTEN,Articuno,Youngster,2,1:04.24,1:04,0h1m4s,0,0,10,0:14,1.766,ICE BEAM,PECK,,,0,790,66,5,12,19,19,11,2,4563,Flareon
11-18,17:15:20,NINTEN,Articuno,Bug Catcher,4,1:09.81,1:09,0h1m9s,0,0,11,0:15,4.736,ICE BEAM,PECK,,,0,794,67,6,12,25,25,13,2,4728,Flareon
11-18,17:15:25,NINTEN,Articuno,Bug Catcher,2,1:14.82,1:14,0h1m14s,0,0,12,0:17,3.203,ICE BEAM,PECK,,,0,804,67,7,12,29,29,15,2,4818,Flareon
11-18,17:15:33,NINTEN,Articuno,Super Nerd,2,1:23.11,1:23,0h1m23s,0,0,13,0:19,2.499,ICE BEAM,PECK,,,0,945,86,8,12,32,32,16,2,4928,Flareon
11-18,17:15:52,NINTEN,Articuno,Super Nerd,3,1:42.48,1:42,0h1m42s,0,0,14,0:23,2.595,ICE BEAM,PECK,,,0,1168,89,9,24,36,36,16,3,5203,Flareon
11-18,17:15:57,NINTEN,Articuno,Rocket,3,1:47.21,1:47,0h1m47s,0,0,15,0:24,2.702,ICE BEAM,PECK,,,0,1184,91,10,24,39,39,16,4,5503,Flareon
11-18,17:16:09,NINTEN,Articuno,Rival2-Nugget Bridge,4,1:58.80,1:58,0h1m58s,0,0,16,0:27,4.25,ICE BEAM,PECK,,,0,1384,119,11,24,45,45,19,4,5923,Flareon
11-18,17:16:16,NINTEN,Articuno,Bug Catcher,2,2:05.63,2:05,0h2m5s,0,0,16,0:29,2.483,ICE BEAM,PECK,,,0,1457,122,12,24,48,48,20,4,6518,Flareon
11-18,17:16:18,NINTEN,Articuno,Lass,2,2:08.41,2:08,0h2m8s,0,0,16,0:29,1.985,ICE BEAM,PECK,,,0,1459,123,13,24,50,50,21,4,6658,Flareon
11-18,17:16:22,NINTEN,Articuno,Youngster,3,2:12.05,2:12,0h2m12s,0,0,17,0:30,2.829,ICE BEAM,PECK,,,0,1463,125,14,24,53,53,21,4,6868,Flareon
11-18,17:16:25,NINTEN,Articuno,Lass,2,2:14.63,2:14,0h2m14s,0,0,17,0:31,1.782,ICE BEAM,PECK,,,0,1467,128,15,24,55,55,21,4,7078,Flareon
11-18,17:16:27,NINTEN,Articuno,Jr Trainer M,1,2:17.34,2:17,0h2m17s,0,0,17,0:31,1.875,ICE BEAM,PECK,,,0,1471,130,16,24,57,57,22,4,7318,Flareon
11-18,17:16:32,NINTEN,Articuno,Rocket,2,2:22.19,2:22,0h2m22s,0,0,18,0:33,3.031,ICE BEAM,PECK,,,0,1477,130,17,24,61,61,24,5,7678,Flareon
11-18,17:16:36,NINTEN,Articuno,Hiker,2,2:26.46,2:26,0h2m26s,0,0,18,0:34,1.801,ICE BEAM,PECK,,,0,1521,133,18,24,63,63,24,5,8128,Flareon
11-18,17:16:42,NINTEN,Articuno,Lass,2,2:32.41,2:32,0h2m32s,0,0,18,0:35,3.375,ICE BEAM,PECK,,,0,1543,136,19,24,67,67,26,6,8653,Flareon
11-18,17:16:47,NINTEN,Articuno,Jr Trainer M,2,2:36.55,2:36,0h2m36s,0,0,19,0:36,2,ICE BEAM,PECK,,,0,1553,138,20,24,69,69,26,4,8878,Flareon
11-18,17:16:50,NINTEN,Articuno,Lass,3,2:40.19,2:40,0h2m40s,0,0,19,0:37,2.452,ICE BEAM,PECK,,,0,1568,138,21,24,72,72,26,4,9158,Flareon
11-18,17:17:01,NINTEN,Articuno,Jr Trainer F,1,2:51.45,2:51,0h2m51s,0,0,19,0:39,2.22,ICE BEAM,PECK,,,0,1763,150,22,24,75,75,28,6,9353,Flareon
11-18,17:17:09,NINTEN,Articuno,Misty,2,2:59.43,2:59,0h2m59s,0,0,20,0:41,6.061,ICE BEAM,PECK,,,1,1764,152,23,24,84,84,34,6,9733,Flareon
11-18,17:17:20,NINTEN,Articuno,Cerulean Rocket,2,3:10.24,3:10,0h3m10s,0,0,21,0:44,6.078,ICE BEAM,PECK,,,1,1851,161,24,24,95,88,43,7,11812,Flareon
11-18,17:17:29,NINTEN,Articuno,Jr Trainer F,3,3:19.19,3:19,0h3m19s,0,0,21,0:46,2.811,ICE BEAM,PECK,,,1,2001,166,25,26,98,91,44,8,12322,Flareon
11-18,17:17:33,NINTEN,Articuno,Jr Trainer M,2,3:23.19,3:23,0h3m23s,0,0,21,0:47,3.125,ICE BEAM,PECK,,,1,2004,166,26,26,102,95,46,8,12642,Flareon
11-18,17:17:41,NINTEN,Articuno,Youngster,1,3:31.13,3:31,0h3m31s,0,0,22,0:49,1.344,ICE BEAM,PECK,,,1,2105,191,27,26,103,96,46,10,7012,Flareon
11-18,17:17:50,NINTEN,Articuno,Fisher,3,3:40.16,3:40,0h3m40s,0,0,22,0:51,4.423,ICE BEAM,PECK,,,1,2205,203,28,26,110,103,50,11,7327,Flareon
11-18,17:17:54,NINTEN,Articuno,Gentleman,2,3:43.94,3:43,0h3m43s,0,0,23,0:52,2.141,ICE BEAM,PECK,,,1,2232,207,29,26,112,105,50,11,7922,Flareon
11-18,17:18:02,NINTEN,Articuno,Rival3-SS Anne,4,3:51.74,3:51,0h3m51s,0,0,23,0:54,5.86,ICE BEAM,PECK,,,1,2260,210,30,26,120,113,55,11,9112,Flareon
