date_string,time_string,player_name,pokemon,trainer_name,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam
11-18,17:22:30,NINTEN,Articuno,Rival5-Silph,5,11.91,11,0h0m11s,0,0,41,1:54,10.611,ICE BEAM,PECK,FLY,,3,5209,612,53,31,231,203,106,19,14952,Flareon
11-18,17:22:37,NINTEN,Articuno,Rocket,3,19.50,19,0h0m19s,0,0,41,1:56,2.859,ICE BEAM,PECK,FLY,,4,5217,612,54,31,234,206,106,18,17552,Flareon
11-18,17:22:43,NINTEN,Articuno,Giovanni-Silph,4,25.12,25,0h0m25s,0,0,42,1:57,3.594,ICE BEAM,PECK,FLY,,4,5232,617,55,31,238,210,106,18,18482,Flareon
11-18,17:22:52,NINTEN,Articuno,Juggler,4,34.60,34,0h0m34s,0,0,42,2:00,4.5,ICE BEAM,PECK,FLY,,4,5272,618,56,31,246,214,110,18,22541,Flareon
11-18,17:22:56,NINTEN,Articuno,Tamer,3,38.63,38,0h0m38s,0,0,43,2:00,2.905,ICE BEAM,PECK,FLY,,4,5279,620,57,31,249,217,110,18,23626,Flareon
11-18,17:23:01,NINTEN,Articuno,Tamer,2,43.04,43,0h0m43s,0,0,43,2:01,3.11,ICE BEAM,PECK,FLY,,4,5292,621,58,31,251,219,110,18,24946,Flareon
11-18,17:23:06,NINTEN,Articuno,Juggler,2,48.24,48,0h0m48s,0,0,43,2:03,4.108,ICE BEAM,PECK,FLY,,4,5298,622,59,31,256,222,111,18,26306,Flareon
11-18,17:23:15,NINTEN,Articuno,Koga,4,57.50,57,0h0m57s,0,0,44,2:05,7.112,ICE BEAM,PECK,FLY,,5,5303,626,60,31,264,230,115,18,27496,Flareon
11-18,17:23:33,NINTEN,Articuno,Fisher,4,1:15.33,1:15,0h1m15s,0,0,44,2:09,4.718,ICE BEAM,PECK,FLY,,5,5460,681,61,31,274,235,121,19,32446,Flareon
11-18,17:24:01,NINTEN,Articuno,Sabrina,3,1:42.99,1:42,0h1m42s,0,0,45,2:16,7.161,ICE BEAM,PECK,FLY,BLIZZARD,6,5922,706,62,31,288,244,130,19,33426,Flareon
11-18,17:24:21,NINTEN,Articuno,Blaine,3,2:02.75,2:02,0h2m2s,0,0,46,2:20,4.423,ICE BEAM,PECK,FLY,BLIZZARD,7,6095,724,63,31,294,250,134,20,38376,Flareon
11-18,17:24:28,NINTEN,Articuno,Cooltrainer M,1,2:10.53,2:10,0h2m10s,0,0,46,2:22,1.754,ICE BEAM,PECK,FLY,BLIZZARD,7,6182,740,64,31,296,252,134,20,43722,Flareon
11-18,17:24:33,NINTEN,Articuno,Blackbelt,3,2:15.48,2:15,0h2m15s,0,0,46,2:23,3.875,ICE BEAM,FLY,PECK,BLIZZARD,7,6190,742,65,31,302,255,136,20,45227,Flareon
11-18,17:24:43,NINTEN,Articuno,Giovanni,5,2:25.08,2:25,0h2m25s,0,0,47,2:25,6.156,ICE BEAM,FLY,PECK,BLIZZARD,8,6258,751,66,31,308,261,139,20,46177,Flareon
11-18,17:25:11,NINTEN,Articuno,Rival6-Route 22,6,2:53.55,2:53,0h2m53s,1,1,49,2:29,9.935,ICE BEAM,FLY,PECK,BLIZZARD,9,6399,758,67,31,323,273,146,20,51622,Flareon
11-18,17:25:41,NINTEN,Articuno,Blackbelt,3,3:23.37,3:23,0h3m23s,1,1,49,2:37,3.658,ICE BEAM,FLY,PECK,BLIZZARD,9,6797,846,68,32,329,276,149,20,55067,Flareon
11-18,17:25:54,NINTEN,Articuno,Cooltrainer F,3,3:36.19,3:36,0h3m36s,1,1,49,2:40,2.672,ICE BEAM,FLY,PECK,BLIZZARD,9,6962,894,69,33,332,279,149,20,56142,Flareon
11-18,17:26:06,NINTEN,Articuno,Juggler,4,3:48.32,3:48,0h3m48s,1,1,50,2:43,6.392,ICE BEAM,FLY,PECK,BLIZZARD,9,7018,925,70,33,344,285,154,20,57647,Flareon
