date_string,time_string,player_name,pokemon,trainer_name,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam
11-15,22:22:42,NINTEN,Articuno,Rocket,3,52:13.43,52:13,0h52m13s,0,0,15,3:10,2.391,ICE BEAM,PECK,,,0,1324,99,10,24,39,39,16,4,5503,Flareon
11-18,15:32:26,NINTEN,Articuno,Bug Catcher,3,5:34.42,5:34,0h5m34s,0,0,24,1:04,1700346746.275,ICE BEAM,PECK,,,2,2796,290,33,26,130,123,56,13,13544,Flareon
11-18,15:32:36,NINTEN,Articuno,Pokemaniac,2,5:44.62,5:44,0h5m44s,0,0,25,1:06,4.25,ICE BEAM,PECK,,,2,2916,305,34,26,135,128,59,13,13744,Flareon
11-18,15:32:47,NINTEN,Articuno,Pokemaniac,1,5:55.23,5:55,0h5m55s,0,0,25,1:08,3.766,ICE BEAM,PECK,,,2,2955,308,35,27,140,133,63,13,14894,Flareon
11-18,15:32:53,NINTEN,Articuno,Jr Trainer F,2,6:01.20,6:01,0h6m1s,0,0,25,1:10,1700346773.049,ICE BEAM,PECK,,,2,2968,308,36,27,144,137,65,13,16144,Flareon
11-18,15:33:04,NINTEN,Articuno,Selfdestructing Hiker,3,6:12.84,6:12,0h6m12s,0,0,26,1:12,1700346784.689,ICE BEAM,PECK,,,2,3081,318,37,27,147,140,65,13,16584,Flareon
11-18,15:33:10,NINTEN,Articuno,Jr Trainer F,3,6:19.11,6:19,0h6m19s,0,0,26,1:13,3.075,ICE BEAM,PECK,,,2,3135,340,38,27,150,143,66,13,17319,Flareon
11-18,15:33:18,NINTEN,Articuno,Gambler,2,6:26.19,6:26,0h6m26s,0,0,26,1:15,2.155,ICE BEAM,PECK,,,2,3219,359,39,28,152,145,66,14,17719,Flareon
11-18,15:33:34,NINTEN,Articuno,Rocket,2,6:42.65,6:42,0h6m42s,0,0,27,1:18,1.875,ICE BEAM,PECK,,,2,3494,423,40,28,154,147,66,13,19399,Flareon
11-18,15:37:47,NINTEN,Articuno,Jr Trainer M,2,3:08.51,3:08,0h3m8s,0,0,21,0:47,1700347067.501,ICE BEAM,PECK,,,1,2004,166,26,26,102,95,46,8,12642,Flareon
11-18,15:38:03,NINTEN,Articuno,Fisher,3,3:24.37,3:24,0h3m24s,0,0,22,0:51,4.157,ICE BEAM,PECK,,,1,2205,203,28,26,110,103,50,11,7327,Flareon
11-18,15:38:06,NINTEN,Articuno,Gentleman,2,3:27.72,3:27,0h3m27s,0,0,23,0:52,1.876,ICE BEAM,PECK,,,1,2232,207,29,26,112,105,50,11,7922,Flareon
11-18,15:38:13,NINTEN,Articuno,Rival3-SS Anne,4,3:34.99,3:34,0h3m34s,0,0,23,0:54,5.39,ICE BEAM,PECK,,,1,2260,210,30,26,120,113,55,11,9112,Flareon
11-18,15:38:36,NINTEN,Articuno,Surge,1,3:57.85,3:57,0h3m57s,0,0,24,1:00,2.155,ICE BEAM,PECK,,,2,2567,272,31,26,123,116,56,11,10412,Flareon
11-18,15:38:53,NINTEN,Articuno,Wrapping Lass,4,4:14.26,4:14,0h4m14s,0,0,24,1:04,3.139,ICE BEAM,PECK,,,2,2756,288,32,26,127,120,56,13,13184,Flareon
11-18,15:38:56,NINTEN,Articuno,Bug Catcher,3,4:17.81,4:17,0h4m17s,0,0,24,1:04,2.297,ICE BEAM,PECK,,,2,2796,290,33,26,130,123,56,13,13544,Flareon
11-18,15:39:04,NINTEN,Articuno,Pokemaniac,2,4:25.79,4:25,0h4m25s,0,0,25,1:06,3.578,ICE BEAM,PECK,,,2,2916,305,34,26,135,128,59,13,13744,Flareon
11-18,15:39:12,NINTEN,Articuno,Pokemaniac,1,4:33.52,4:33,0h4m33s,0,0,25,1:08,2.953,ICE BEAM,PECK,,,2,2955,308,35,27,140,133,63,13,14894,Flareon
11-18,15:39:17,NINTEN,Articuno,Jr Trainer F,2,4:38.08,4:38,0h4m38s,0,0,25,1:10,2.843,ICE BEAM,PECK,,,2,2968,308,36,27,144,137,65,13,16144,Flareon
11-18,15:39:25,NINTEN,Articuno,Selfdestructing Hiker,3,4:46.81,4:46,0h4m46s,0,0,26,1:12,2.813,ICE BEAM,PECK,,,2,3081,318,37,27,147,140,65,13,16584,Flareon
11-18,15:39:30,NINTEN,Articuno,Jr Trainer F,3,4:51.37,4:51,0h4m51s,0,0,26,1:13,2.486,ICE BEAM,PECK,,,2,3135,340,38,27,150,143,66,13,17319,Flareon
11-18,15:39:35,NINTEN,Articuno,Gambler,2,4:56.58,4:56,0h4m56s,0,0,26,1:15,1.702,ICE BEAM,PECK,,,2,3219,359,39,28,152,145,66,14,17719,Flareon
11-18,15:39:49,NINTEN,Articuno,Rocket,2,5:10.60,5:10,0h5m10s,0,0,27,1:18,1.923,ICE BEAM,PECK,,,2,3494,423,40,28,154,147,66,13,19399,Flareon
11-18,15:40:11,NINTEN,Articuno,Cooltrainer F,3,5:32.52,5:32,0h5m32s,0,0,28,1:24,2.687,ICE BEAM,PECK,FLY,,2,3891,458,41,28,157,150,66,17,2999,Flareon
11-18,15:40:15,NINTEN,Articuno,Erika,3,5:36.33,5:36,0h5m36s,0,0,28,1:25,2.421,ICE BEAM,PECK,FLY,,2,3894,458,42,28,160,153,66,17,3839,Flareon
11-18,15:40:27,NINTEN,Articuno,Rival4-Pkmn Tower,5,5:48.88,5:48,0h5m48s,0,0,29,1:28,8.249,ICE BEAM,PECK,FLY,,2,3944,461,43,28,180,164,81,18,7007,Flareon
11-18,15:40:34,NINTEN,Articuno,Channeler,2,5:55.22,5:55,0h5m55s,0,0,30,1:30,2.547,ICE BEAM,PECK,FLY,,2,3994,467,44,28,184,166,83,18,8632,Flareon
