date_string,time_string,player_name,pokemon,trainer_name, trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam
11-20,20:31:33,NINTEN,Raichu,Rival1-Lab,1,Pallet Town - Oak's Lab,1,42.74,42,0h0m42s,0,0,6,0:02,7.171,THUNDERSHOCK,GROWL,THUNDER WAVE,,0,77,4,1,1,3,3,1,1,3000,Jolteon
11-20,20:32:38,NINTEN,Raichu,Rival1a-Route 22,2,Route 22,2,1:47.52,1:47,0h1m47s,0,0,7,0:06,14.579,THUNDERSHOCK,GROWL,THUNDER WAVE,,0,441,13,2,1,11,11,6,1,3175,Flareon
11-20,20:33:24,NINTEN,Raichu,Lass,19,Viridian Forest,2,2:34.12,2:34,0h2m34s,0,0,8,0:09,8.295,THUNDERSHOCK,GROWL,THUNDER WAVE,,0,634,29,3,3,17,17,9,1,3455,Jolteon
11-20,20:33:39,NINTEN,Raichu,Bug Catcher,1,Viridian Forest,2,2:49.29,2:49,0h2m49s,0,0,9,0:10,9.562,THUNDERSHOCK,GROWL,THUNDER WAVE,,0,674,31,4,3,21,21,11,1,3545,Jolteon
11-20,20:34:00,NINTEN,Raichu,Bug Catcher,2,Viridian Forest,3,3:09.77,3:09,0h3m9s,0,0,10,0:11,11.53,THUNDERSHOCK,GROWL,THUNDER WAVE,,0,688,31,5,4,28,28,14,1,3615,Jolteon
11-20,20:34:18,NINTEN,Raichu,Bug Catcher,15,Viridian Forest,2,3:27.80,3:27,0h3m27s,0,0,11,0:13,8.752,THUNDERSHOCK,GROWL,THUNDER WAVE,,0,721,34,6,5,32,32,15,1,3675,Jolteon
11-20,20:34:50,NINTEN,Raichu,Bug Catcher,3,Viridian Forest,1,3:59.82,3:59,0h3m59s,0,0,12,0:15,5.609,THUNDERSHOCK,GROWL,THUNDER WAVE,,0,797,35,7,9,39,39,17,1,3755,Jolteon
11-20,20:39:04,NINTEN,Raichu,Jr Trainer M,1,Pewter City - Gym,2,8:13.73,8:13,0h8m13s,0,0,14,0:31,9.204,THUNDERSHOCK,GROWL,THUNDER WAVE,,0,1402,56,8,42,135,135,73,1,255,Jolteon
11-20,20:47:23,NINTEN,Raichu,Brock,1,Pewter City - Gym,2,16:33.05,16:33,0h16m33s,1,1,18,1:02,25.876,THUNDERSHOCK,GROWL,THUNDER WAVE,,1,2569,105,9,115,277,277,132,1,435,Jolteon
11-20,20:47:51,NINTEN,Raichu,Bug Catcher,4,Route 3,3,17:00.97,17:00,0h17m0s,1,1,18,1:04,8.313,THUNDERSHOCK,GROWL,THUNDER WAVE,,1,2682,106,10,115,280,280,132,2,1623,Jolteon
