date_string,time_string,player_name,pokemon,trainer_name,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam
11-18,18:00:53,NINTEN,Articuno,Rival5-Silph,5,11.98,11,0h0m11s,0,0,41,1:54,10.641,ICE BEAM,PECK,FLY,,3,5209,612,53,31,231,203,106,19,14952,Flareon
11-18,18:01:01,NINTEN,Articuno,Rocket,3,19.73,19,0h0m19s,0,0,41,1:56,2.952,ICE BEAM,PECK,FLY,,4,5217,612,54,31,234,206,106,18,17552,Flareon
11-18,18:01:06,NINTEN,Articuno,Giovanni-Silph,4,25.41,25,0h0m25s,0,0,42,1:57,3.625,ICE BEAM,PECK,FLY,,4,5232,617,55,31,238,210,106,18,18482,Flareon
11-18,18:01:16,NINTEN,Articuno,Juggler,4,35.02,35,0h0m35s,0,0,42,2:00,4.529,ICE BEAM,PECK,FLY,,4,5272,618,56,31,246,214,110,18,22541,Flareon
11-18,18:01:20,NINTEN,Articuno,Tamer,3,39.21,39,0h0m39s,0,0,43,2:00,3.001,ICE BEAM,PECK,FLY,,4,5279,620,57,31,249,217,110,18,23626,Flareon
11-18,18:01:25,NINTEN,Articuno,Tamer,2,43.71,43,0h0m43s,0,0,43,2:01,3.187,ICE BEAM,PECK,FLY,,4,5292,621,58,31,251,219,110,18,24946,Flareon
11-18,18:01:30,NINTEN,Articuno,Juggler,2,48.96,48,0h0m48s,0,0,43,2:03,4.125,ICE BEAM,PECK,FLY,,4,5298,622,59,31,256,222,111,18,26306,Flareon
11-18,18:01:39,NINTEN,Articuno,Koga,4,58.34,58,0h0m58s,0,0,44,2:05,7.171,ICE BEAM,PECK,FLY,,5,5303,626,60,31,264,230,115,18,27496,Flareon
11-18,18:01:57,NINTEN,Articuno,Fisher,4,1:16.52,1:16,0h1m16s,0,0,44,2:09,4.797,ICE BEAM,PECK,FLY,,5,5460,681,61,31,274,235,121,19,32446,Flareon
11-18,18:02:25,NINTEN,Articuno,Sabrina,3,1:44.32,1:44,0h1m44s,0,0,45,2:16,7.154,ICE BEAM,PECK,FLY,BLIZZARD,6,5922,706,62,31,288,244,130,19,33426,Flareon
11-18,18:02:45,NINTEN,Articuno,Blaine,3,2:04.29,2:04,0h2m4s,0,0,46,2:20,4.471,ICE BEAM,PECK,FLY,BLIZZARD,7,6095,724,63,31,294,250,134,20,38376,Flareon
11-18,18:02:53,NINTEN,Articuno,Cooltrainer M,1,2:12.10,2:12,0h2m12s,0,0,46,2:22,1.735,ICE BEAM,PECK,FLY,BLIZZARD,7,6182,740,64,31,296,252,134,20,43722,Flareon
11-18,18:02:58,NINTEN,Articuno,Blackbelt,3,2:17.00,2:17,0h2m17s,0,0,46,2:23,3.842,ICE BEAM,FLY,PECK,BLIZZARD,7,6190,742,65,31,302,255,136,20,45227,Flareon
11-18,18:03:07,NINTEN,Articuno,Giovanni,5,2:26.59,2:26,0h2m26s,0,0,47,2:25,6.016,ICE BEAM,FLY,PECK,BLIZZARD,8,6258,751,66,31,308,261,139,20,46177,Flareon
