date_string,time_string,player_name,pokemon,trainer_name,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns
11-15,21:00:41,NINTEN,Articuno,Rival1-Lab,19.69,19,0h0m19s,0,0,5,0:02,2.53,PECK,ICE BEAM,,,0,72,2,1,1,3,3,2
11-15,21:02:37,NINTEN,Articuno,Brock,2:15.76,2:15,0h2m15s,0,0,9,0:11,7.486,ICE BEAM,PECK,,,0,709,66,3,12,11,11,6
