date_string,time_string,player_name,pokemon,trainer_name,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam
11-15,21:30:48,NINTEN,Articuno,Rival1-Lab,1,19.66,19,0h0m19s,0,0,5,0:02,2.548,PECK,ICE BEAM,,,0,72,2,1,1,3,3,2,0,3000,Jolteon
11-15,21:32:23,NINTEN,Articuno,Bug Catcher,1,1:54.99,1:54,0h1m54s,0,0,7,0:10,5.424,ICE BEAM,PECK,,,0,605,65,2,11,9,9,5,1,3175,Flareon
11-15,21:32:44,NINTEN,Articuno,Brock,2,2:15.63,2:15,0h2m15s,0,0,9,0:11,7.438,ICE BEAM,PECK,,,0,709,66,3,12,11,11,6,1,3275,Flareon
11-15,21:32:57,NINTEN,Articuno,Bug Catcher,3,2:29.15,2:29,0h2m29s,0,0,10,0:13,5.532,ICE BEAM,PECK,,,0,786,66,4,12,17,17,11,2,4463,Flareon
11-15,21:33:03,NINTEN,Articuno,Youngster,2,2:34.18,2:34,0h2m34s,0,0,10,0:14,2.579,ICE BEAM,PECK,,,0,790,66,5,12,19,19,11,2,4563,Flareon
11-15,21:33:10,NINTEN,Articuno,Bug Catcher,4,2:41.92,2:41,0h2m41s,0,0,11,0:15,5.517,ICE BEAM,PECK,,,0,794,67,6,12,25,25,13,2,4728,Flareon
11-15,21:33:20,NINTEN,Articuno,Bug Catcher,2,2:51.85,2:51,0h2m51s,0,0,12,0:17,3.89,ICE BEAM,PECK,,,0,804,67,7,12,29,29,15,2,4818,Flareon
11-15,21:33:42,NINTEN,Articuno,Super Nerd,2,3:13.62,3:13,0h3m13s,0,0,13,0:19,4.109,ICE BEAM,PECK,,,0,945,86,8,12,32,32,16,2,4928,Flareon
11-15,21:34:36,NINTEN,Articuno,Super Nerd,3,4:08.13,4:08,0h4m8s,0,0,14,0:23,2.937,ICE BEAM,PECK,,,0,1168,89,9,24,36,36,16,3,5203,Flareon
11-18,15:22:29,NINTEN,Articuno,Rival1-Lab,1,33.54,33,0h0m33s,0,0,5,0:02,4.626,PECK,ICE BEAM,,,0,72,2,1,1,3,3,2,0,3000,Jolteon
11-18,15:23:54,NINTEN,Articuno,Rival1-Lab,1,11.09,11,0h0m11s,0,0,5,0:02,4.627,PECK,ICE BEAM,,,0,72,2,1,1,3,3,2,0,3000,Jolteon
11-18,15:25:04,NINTEN,Articuno,Bug Catcher,1,1:20.25,1:20,0h1m20s,0,0,7,0:10,5.422,ICE BEAM,PECK,,,0,605,65,2,11,9,9,5,1,3175,Flareon
11-18,15:25:17,NINTEN,Articuno,Brock,2,1:33.99,1:33,0h1m33s,0,0,9,0:11,5.171,ICE BEAM,PECK,,,0,709,66,3,12,11,11,6,1,3275,Flareon
11-18,15:25:34,NINTEN,Articuno,Bug Catcher,3,1:51.02,1:51,0h1m51s,0,0,10,0:13,9.344,ICE BEAM,PECK,,,0,786,66,4,12,17,17,11,2,4463,Flareon
11-18,15:25:40,NINTEN,Articuno,Youngster,2,1:56.49,1:56,0h1m56s,0,0,10,0:14,3.533,ICE BEAM,PECK,,,0,790,66,5,12,19,19,11,2,4563,Flareon
11-18,15:25:51,NINTEN,Articuno,Bug Catcher,4,2:07.48,2:07,0h2m7s,0,0,11,0:15,9.311,ICE BEAM,PECK,,,0,794,67,6,12,25,25,13,2,4728,Flareon
11-18,15:26:01,NINTEN,Articuno,Bug Catcher,2,2:17.84,2:17,0h2m17s,0,0,12,0:17,6.343,ICE BEAM,PECK,,,0,804,67,7,12,29,29,15,2,4818,Flareon
11-18,15:26:19,NINTEN,Articuno,Super Nerd,2,2:35.44,2:35,0h2m35s,0,0,13,0:19,4.858,ICE BEAM,PECK,,,0,945,86,8,12,32,32,16,2,4928,Flareon
11-18,15:27:09,NINTEN,Articuno,Rival1-Lab,1,17.54,17,0h0m17s,0,0,5,0:02,2.703,PECK,ICE BEAM,,,0,72,2,1,1,3,3,2,0,3000,Jolteon
11-18,15:27:49,NINTEN,Articuno,Bug Catcher,1,57.93,57,0h0m57s,0,0,7,0:10,3.187,ICE BEAM,PECK,,,0,605,65,2,11,9,9,5,1,3175,Flareon
11-18,15:27:57,NINTEN,Articuno,Brock,2,1:05.93,1:05,0h1m5s,0,0,9,0:11,3.015,ICE BEAM,PECK,,,0,709,66,3,12,11,11,6,1,3275,Flareon
11-18,15:28:07,NINTEN,Articuno,Bug Catcher,3,1:15.90,1:15,0h1m15s,0,0,10,0:13,5.469,ICE BEAM,PECK,,,0,786,66,4,12,17,17,11,2,4463,Flareon
11-18,15:28:10,NINTEN,Articuno,Youngster,2,1:19.09,1:19,0h1m19s,0,0,10,0:14,2.063,ICE BEAM,PECK,,,0,790,66,5,12,19,19,11,2,4563,Flareon
11-18,15:28:17,NINTEN,Articuno,Bug Catcher,4,1:25.50,1:25,0h1m25s,0,0,11,0:15,5.438,ICE BEAM,PECK,,,0,794,67,6,12,25,25,13,2,4728,Flareon
11-18,15:28:23,NINTEN,Articuno,Bug Catcher,2,1:31.55,1:31,0h1m31s,0,0,12,0:17,3.705,ICE BEAM,PECK,,,0,804,67,7,12,29,29,15,2,4818,Flareon
11-18,15:28:33,NINTEN,Articuno,Super Nerd,2,1:41.85,1:41,0h1m41s,0,0,13,0:19,2.846,ICE BEAM,PECK,,,0,945,86,8,12,32,32,16,2,4928,Flareon
11-18,15:28:57,NINTEN,Articuno,Super Nerd,3,2:05.44,2:05,0h2m5s,0,0,14,0:23,3.141,ICE BEAM,PECK,,,0,1168,89,9,24,36,36,16,3,5203,Flareon
11-18,15:29:02,NINTEN,Articuno,Rocket,3,2:11.03,2:11,0h2m11s,0,0,15,0:24,3.031,ICE BEAM,PECK,,,0,1184,91,10,24,39,39,16,4,5503,Flareon
11-18,15:29:17,NINTEN,Articuno,Rival2-Nugget Bridge,4,2:25.37,2:25,0h2m25s,0,0,16,0:27,5.016,ICE BEAM,PECK,,,0,1384,119,11,24,45,45,19,4,5923,Flareon
11-18,15:29:25,NINTEN,Articuno,Bug Catcher,2,2:33.73,2:33,0h2m33s,0,0,16,0:29,2.999,ICE BEAM,PECK,,,0,1457,122,12,24,48,48,20,4,6518,Flareon
11-18,15:29:28,NINTEN,Articuno,Lass,2,2:36.96,2:36,0h2m36s,0,0,16,0:29,2.264,ICE BEAM,PECK,,,0,1459,123,13,24,50,50,21,4,6658,Flareon
11-18,15:29:32,NINTEN,Articuno,Youngster,3,2:41.04,2:41,0h2m41s,0,0,17,0:30,3.156,ICE BEAM,PECK,,,0,1463,125,14,24,53,53,21,4,6868,Flareon
11-18,15:29:35,NINTEN,Articuno,Lass,2,2:44.05,2:44,0h2m44s,0,0,17,0:31,2.077,ICE BEAM,PECK,,,0,1467,128,15,24,55,55,21,4,7078,Flareon
11-18,15:29:39,NINTEN,Articuno,Jr Trainer M,1,2:47.23,2:47,0h2m47s,0,0,17,0:31,2.203,ICE BEAM,PECK,,,0,1471,130,16,24,57,57,22,4,7318,Flareon
11-18,15:29:44,NINTEN,Articuno,Rocket,2,2:52.84,2:52,0h2m52s,0,0,18,0:33,3.546,ICE BEAM,PECK,,,0,1477,130,17,24,61,61,24,5,7678,Flareon
11-18,15:29:49,NINTEN,Articuno,Hiker,2,2:58.01,2:58,0h2m58s,0,0,18,0:34,2.126,ICE BEAM,PECK,,,0,1521,133,18,24,63,63,24,5,8128,Flareon
11-18,15:29:56,NINTEN,Articuno,Lass,2,3:05.07,3:05,0h3m5s,0,0,18,0:35,3.782,ICE BEAM,PECK,,,0,1543,136,19,24,67,67,26,6,8653,Flareon
11-18,15:30:01,NINTEN,Articuno,Jr Trainer M,2,3:09.84,3:09,0h3m9s,0,0,19,0:36,2.312,ICE BEAM,PECK,,,0,1553,138,20,24,69,69,26,4,8878,Flareon
11-18,15:30:05,NINTEN,Articuno,Lass,3,3:14.12,3:14,0h3m14s,0,0,19,0:37,2.83,ICE BEAM,PECK,,,0,1568,138,21,24,72,72,26,4,9158,Flareon
11-18,15:30:19,NINTEN,Articuno,Jr Trainer F,1,3:28.02,3:28,0h3m28s,0,0,19,0:39,2.627,ICE BEAM,PECK,,,0,1763,150,22,24,75,75,28,6,9353,Flareon
11-18,15:30:28,NINTEN,Articuno,Misty,2,3:36.99,3:36,0h3m36s,0,0,20,0:41,6.734,ICE BEAM,PECK,,,1,1764,152,23,24,84,84,34,6,9733,Flareon
11-18,15:30:41,NINTEN,Articuno,Cerulean Rocket,2,3:49.94,3:49,0h3m49s,0,0,21,0:44,7.155,ICE BEAM,PECK,,,1,1851,161,24,24,95,88,43,7,11812,Flareon
